date,time,open,high,low,close,volume
2017/1/6,5:30,19430,19430,19430,19430,2643
2017/1/6,8:45,19370,19375,19305,19340,27877
2017/1/6,9:00,19335,19385,19325,19380,33562
2017/1/6,9:15,19375,19400,19370,19390,39090
2017/1/6,9:30,19390,19415,19390,19390,26705
2017/1/6,9:45,19390,19420,19390,19415,20721
2017/1/6,10:00,19415,19440,19410,19430,16099
2017/1/6,10:15,19425,19450,19425,19445,19308
2017/1/6,10:30,19445,19460,19420,19445,24899
2017/1/6,10:45,19445,19445,19420,19430,14097
2017/1/6,11:00,19430,19450,19430,19430,10562
2017/1/6,11:15,19430,19450,19425,19430,16534
2017/1/6,11:30,19430,19435,19405,19420,11856
2017/1/6,11:45,19420,19440,19415,19430,9399
2017/1/6,12:00,19425,19435,19420,19430,5005
2017/1/6,12:15,19430,19435,19425,19430,6702
2017/1/6,12:30,19430,19445,19420,19440,14263
2017/1/6,12:45,19440,19450,19430,19430,14485
2017/1/6,13:00,19430,19440,19415,19430,13312
2017/1/6,13:15,19430,19435,19400,19405,18742
2017/1/6,13:30,19405,19410,19375,19400,25903
2017/1/6,13:45,19395,19430,19395,19425,18354
2017/1/6,14:00,19430,19430,19410,19425,15565
2017/1/6,14:15,19425,19435,19420,19435,13060
2017/1/6,14:30,19435,19455,19430,19450,13338
2017/1/6,14:45,19455,19460,19445,19450,16271
2017/1/6,15:00,19450,19450,19425,19430,15986
2017/1/6,15:15,19400,19400,19400,19400,5951
2017/1/10,16:30,19450,19455,19435,19455,6412
2017/1/10,16:45,19455,19465,19445,19445,5851
2017/1/10,17:00,19450,19450,19425,19435,8200
2017/1/10,17:15,19435,19445,19430,19440,4102
2017/1/10,17:30,19440,19450,19430,19435,4608
2017/1/10,17:45,19435,19440,19420,19420,2613
2017/1/10,18:00,19420,19435,19415,19430,5081
2017/1/10,18:15,19425,19430,19410,19420,3511
2017/1/10,18:30,19415,19420,19405,19410,5352
2017/1/10,18:45,19410,19415,19405,19410,3008
2017/1/10,19:00,19405,19420,19400,19415,3991
2017/1/10,19:15,19415,19430,19415,19425,2989
2017/1/10,19:30,19425,19430,19410,19410,2092
2017/1/10,19:45,19410,19415,19400,19400,2043
2017/1/10,20:00,19405,19415,19405,19415,1917
2017/1/10,20:15,19410,19425,19410,19415,2084
2017/1/10,20:30,19415,19420,19410,19410,1778
2017/1/10,20:45,19410,19430,19410,19425,2635
2017/1/10,21:00,19425,19435,19420,19430,2085
2017/1/10,21:15,19430,19435,19425,19425,1921
2017/1/10,21:30,19430,19430,19415,19420,1881
2017/1/10,21:45,19420,19425,19415,19415,498
2017/1/10,22:00,19415,19420,19405,19405,2577
2017/1/10,22:15,19405,19425,19405,19415,4705
2017/1/10,22:30,19420,19470,19400,19465,29553
2017/1/10,22:45,19465,19550,19465,19540,32670
2017/1/10,23:00,19540,19550,19520,19535,17275
2017/1/10,23:15,19535,19575,19530,19560,17754
2017/1/10,23:30,19565,19575,19495,19510,31730
2017/1/10,23:45,19505,19550,19495,19550,18082
2017/1/10,0:00,19545,19570,19530,19535,13870
2017/1/10,0:15,19535,19555,19525,19545,10014
2017/1/10,0:30,19550,19550,19520,19540,10064
2017/1/10,0:45,19540,19555,19520,19545,7936
2017/1/10,1:00,19545,19565,19540,19565,8363
2017/1/10,1:15,19565,19575,19550,19575,9825
